facility_damage,summary_point,lat,long,highlight_in_map2
0.0,POINT (-90.90311622619588 32.31341240056392),32.31341,-90.90312,False
0.0,POINT (-87.99978986151353 41.6792094240879),41.67921,-87.99979,False
0.0,POINT (-90.6485 42.498),42.498,-90.6485,False
0.0,POINT (-90.18657649956751 38.67463903472549),38.67464,-90.18658,False
0.0,POINT (-89.83677989 37.90265686),37.90266,-89.83678,False
0.0,POINT (-91.099354 29.668585),29.66858,-91.09935,False
3500000.0,POINT (-90.91255760192838 30.09826183324111),30.09826,-90.91256,True
0.0,POINT (-91.099354 29.668585),29.66858,-91.09935,False
0.0,POINT (-90.02603697709911 30.00447223683908),30.00447,-90.02604,False
0.0,POINT (-90.60768699645982 39.632777856853934),39.63278,-90.60769,False
0.0,POINT (-91.79808259035617 30.98193921508388),30.98194,-91.79808,False
0.0,POINT (-90.1902065277098 29.683335252166),29.68334,-90.19021,False
0.0,POINT (-89.08292163621273 41.32317790098014),41.32318,-89.08292,False
5000.0,POINT (-93.96400652957817 29.823456146964055),29.82346,-93.96401,True
0.0,POINT (-90.72076356411232 29.56831946285733),29.56832,-90.72076,False
0.0,POINT (-90.18674916389203 38.67459676771308),38.6746,-90.18675,False
0.0,POINT (-73.815817 40.861935),40.86194,-73.81582,False
25000.0,POINT (-90.37403333333332 29.941016666666663),29.94102,-90.37403,True
0.0,POINT (-80.33081648281728 40.67903014033564),40.67903,-80.33082,False
0.0,POINT (-88.015385 32.23772),32.23772,-88.01538,False
0.0,POINT (-86.77806914980383 36.17152130555299),36.17152,-86.77807,False
0.0,POINT (-91.63809398 30.36514058),30.36514,-91.63809,False
0.0,POINT (-91.21257477141512 29.692530457638373),29.69253,-91.21257,False
0.0,POINT (-90.16600227356032 42.06424983254005),42.06425,-90.166,False
0.0,POINT (-90.16851666666666 29.94463333333333),29.94463,-90.16852,False
0.0,POINT (-93.05044984817418 44.91859035099175),44.91859,-93.05045,False
0.0,POINT (-90.7205 29.5679166666667),29.56792,-90.7205,False
0.0,POINT (-91.03235543325522 39.44471445513098),39.44471,-91.03236,False
0.0,POINT (-89.467222695335 37.216507782362285),37.21651,-89.46722,False
0.0,POINT (-91.21265 29.69248333333333),29.69248,-91.21265,False
400000.0,POINT (-89.6306 30.1559),30.1559,-89.6306,True
200000.0,POINT (-90.5654305555556 39.8307361111111),39.83074,-90.56543,True
0.0,POINT (-93.26577758788969 30.194453125142317),30.19445,-93.26578,False
100000.0,POINT (-74.87423515320232 38.95575456063486),38.95575,-74.87424,True
0.0,POINT (-88.08310604095557 41.53627279930341),41.53627,-88.08311,False
0.0,POINT (-90.72948074340792 29.384473630360247),29.38447,-90.72948,False
0.0,POINT (-90.02606666666665 29.968366666666668),29.96837,-90.02607,False
0.0,POINT (-89.08280371341827 41.32232677978092),41.32233,-89.0828,False
0.0,POINT (-91.63809398 30.36514058),30.36514,-91.63809,False
0.0,POINT (-76.29610633850437 36.75815678199399),36.75816,-76.29611,False
0.0,POINT (-90.64845657348609 42.49806311665506),42.49806,-90.64846,False
0.0,POINT (-87.6212752965977 41.650804562098),41.6508,-87.62128,False
0.0,POINT (-90.16848333333331 29.9444),29.9444,-90.16848,False
300000.0,POINT (-76.18639326095938 36.723689254610086),36.72369,-76.18639,True
0.0,POINT (-91.37355370500951 40.39032290937416),40.39032,-91.37355,False
0.0,POINT (-75.09130096435936 38.331539686356635),38.33154,-75.0913,False
0.0,POINT (-87.907309 31.494472),31.49447,-87.90731,False
0.0,POINT (-95.06485675373642 29.792051359266484),29.79205,-95.06486,False
0.0,POINT (-82.59453795241815 38.402977464132775),38.40298,-82.59454,False
0.0,POINT (-90.05721187591561 29.934982855759788),29.93498,-90.05721,False
0.0,POINT (-82.62325859070013 27.750190628677313),27.75019,-82.62326,False
0.0,POINT (-87.83871890733833 36.49085004701392),36.49085,-87.83872,False
0.0,POINT (-76.34556832933086 36.85660796213896),36.85661,-76.34557,False
0.0,POINT (-90.168 42.06433333333333),42.06433,-90.168,False
0.0,POINT (-90.56666698491472 41.518583892095045),41.51858,-90.56667,False
0.0,POINT (-87.45234962436824 41.66007630281094),41.66008,-87.45235,False
0.0,POINT (-91.28126478195155 43.8332642816182),43.83326,-91.28126,False
0.0,POINT (-91.41921615600477 39.93058585050876),39.93059,-91.41922,False
0.0,POINT (-90.60683333333331 39.6325),39.6325,-90.60683,False
0.0,POINT (-89.6785 40.5525),40.5525,-89.6785,False
0.0,POINT (-90.7205 29.567916666666665),29.56792,-90.7205,False
0.0,POINT (-91.29167379863856 40.626299179046725),40.6263,-91.29167,False
0.0,POINT (-93.86796569824111 29.9796753156566),29.97968,-93.86797,False
