,activity_id,serious_marine_incident,marine_board_convened,invest_level,casualty_classification,incident_involvement,invest_type
0,1988956,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1990409,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1990497,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1991302,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1991651,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1996283,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1996817,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1999016,true,false,,Significant Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2003650,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2003945,true,false,,Significant Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2004591,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2005259,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2007005,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2007769,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2010117,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2011469,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2011681,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2011731,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2011757,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2014268,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2015562,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2020183,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2021224,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2022944,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2024856,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2024996,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2025334,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2025672,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2026313,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2026342,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2026361,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2026369,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2027475,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2028973,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2029552,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2031226,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2033282,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
